1 18 26
1 5 50
1 72 39
2 95 6
2 56 34
2 30 11
3 59 16
3 57 31
3 65 25
3 96 14
3 60 18
4 76 30
4 50 2
4 72 34
5 21 7
5 30 42
5 49 11
5 42 29
5 74 7
5 11 45
5 94 45
6 4 11
6 60 19
6 34 1
7 16 9
7 70 26
8 93 30
8 61 21
8 43 47
8 15 23
8 22 35
9 91 28
10 21 13
10 66 2
10 13 19
10 87 34
10 57 8
11 57 34
11 81 37
11 8 26
12 24 8
13 40 50
13 76 6
13 56 8
13 23 38
14 75 35
14 82 37
14 93 47
14 63 27
14 51 9
15 93 35
15 61 17
15 94 36
15 23 26
16 80 17
17 33 32
17 19 18
17 44 43
18 72 37
19 57 28
19 20 14
20 15 32
20 16 47
20 38 28
20 41 15
20 7 22
20 40 2
21 84 9
21 7 42
21 80 43
22 83 17
23 39 4
23 16 41
24 8 42
24 33 17
24 100 44
25 97 15
25 49 4
26 6 45
26 18 46
26 31 11
26 44 30
26 47 25
27 27 38
28 83 12
28 9 8
29 37 18
29 31 45
29 34 29
29 40 16
30 89 48
30 57 11
30 88 39
31 52 3
31 64 48
31 77 42
31 32 7
31 93 28
31 95 43
31 2 49
32 9 37
32 22 8
32 42 30
32 95 35
32 45 24
32 24 8
32 54 15
33 71 13
34 92 47
34 21 1
35 48 25
35 22 27
35 24 43
35 13 30
36 83 20
36 24 49
36 17 13
36 71 8
36 77 24
37 9 46
38 35 42
38 79 39
38 83 1
39 18 47
39 70 19
39 49 3
40 74 29
40 73 35
40 10 5
40 88 34
41 49 21
41 71 22
42 82 33
42 68 14
42 53 29
42 94 2
42 31 2
43 2 28
43 43 17
43 76 38
43 57 46
43 63 38
44 16 20
44 28 28
44 13 37
44 78 1
44 89 47
44 54 1
45 11 15
46 37 1
47 64 45
47 2 10
47 51 12
48 2 49
48 94 10
49 66 38
50 28 3
50 90 49
50 33 15
51 75 17
51 50 9
51 41 47
52 32 36
52 6 29
52 34 31
53 65 32
53 81 44
54 4 34
54 74 36
55 71 30
55 32 20
56 3 10
56 61 14
56 18 41
57 57 50
58 9 40
59 49 33
60 60 16
60 70 22
60 13 39
60 97 27
60 72 16
61 38 8
61 89 8
62 92 17
62 55 45
64 98 17
64 37 16
64 23 14
64 79 46
66 100 2
66 73 19
66 52 26
66 16 24
66 19 3
67 21 43
67 17 45
68 24 18
68 92 45
68 42 6
68 49 7
68 48 32
68 91 47
69 43 30
69 77 27
69 75 41
69 98 24
70 54 12
70 89 38
70 64 33
71 29 37
71 47 42
72 16 7
72 78 45
72 34 43
72 23 20
72 7 5
73 88 35
73 79 33
73 9 28
73 59 21
73 73 15
74 57 7
74 39 21
74 54 44
74 55 13
74 90 6
74 77 39
75 78 30
76 70 33
76 15 26
76 23 46
76 74 41
77 33 27
77 79 27
77 54 28
77 51 16
78 39 35
78 15 15
78 83 38
79 71 17
79 7 6
80 17 26
80 75 42
81 27 37
83 79 30
83 66 20
84 71 10
84 8 8
84 61 28
84 10 43
85 39 16
85 47 3
85 44 30
86 83 4
86 48 6
87 49 10
88 88 22
88 65 24
89 79 35
89 100 26
89 12 35
90 4 24
90 32 49
90 31 17
91 13 48
92 36 35
92 39 49
93 23 40
93 37 37
93 26 3
94 73 2
94 30 42
94 11 33
94 76 43
94 74 47
95 85 12
95 27 35
95 11 33
95 83 38
95 62 36
95 75 18
96 99 31
96 48 31
96 34 1
97 51 21
97 93 15
97 20 30
98 4 1
98 12 11
98 20 32
99 37 30
99 85 27
99 53 49
99 38 30
99 32 32
100 17 19
100 92 17
100 63 46
100 73 43
